Checked,name_en,name_ja,key_author,affiliation_en,affiliation_ja,mail
,"Omoto, Eitetsu",大本 英徹,大本 英徹,,,
,"Onishi, Hiroyuki",大西 浩行,大西 浩行,,,
1,"Onizuka, Makoto",鬼塚 真,MAKOTO ONIZUKA,Osaka University,大阪大学,
,"Ono, Sora",大野 宇宙,大野 宇宙,,,
,"Ono, Tomohiro",小野 智弘,小野 智弘,,,
,Orlando Pereira,,ORLANDO PEREIRA,,,
1,"Osawa, Jun",大澤 純,JUN OSAWA,Osaka University,大阪大学,
,"Osuka, Hushio",大須賀 節雄,大須賀 節雄,,,
,"Otuki, Setsuko",大槻 説乎,大槻 説乎,,,
,Park Jong Hyuk,,PARK JONG HYUK,,,
,Pei Jian,,PEI JIAN,,,
,Pei Minghua,,PEI MINGHUA,,,
,Peter M. D. Gray,,PETER M. D. GRAY,,,
,Pham Nga Viet,,PHAM NGA VIET,,,
,Quan Kong,,QUAN KONG,,,
,Rathore Kumar Abhinay,,RATHORE KUMAR ABHINAY,,,
,Rong Xie,,RONG XIE,,,
,"Ryu, XXX",劉 渤江,劉 渤江,,,
,S.K.Madria,,S.K.MADRIA,,,
,"Saai, Hiroyuki",佐合 弘行,佐合 弘行,,,
1,"Sagara, Ryohei",相良 亮平,RYOHEI SAGARA,,,
,"Sai, XXX",蔡 菁,蔡 菁,,,
,"Saito, Jun",齋藤 淳,齋藤 淳,,,
,"Sakai, Jin",酒井 仁,酒井 仁,,,
1,"Sakai, Tetsuya ",,TETSUYA SAKAI,,,
1,"Sakane, Eisaku",坂根 栄作,EISAKU SAKANE,,,
1,"Sakane, Yutaka ",坂根 裕,YUTAKA SAKANE,,,
?,"Sakashita, Suguru ",坂下 卓,SUGURU SAKASHITA,,,
1,"Sakumichi, Yuki ",,YUKI SAKUMICHI,,,
1,"Sakurai, Yasushi ",櫻井 保志,YASUSHI SAKURAI,,,
1,"Samejima, Masaki",鮫島 正樹,MASAKI SAMEJIMA,Osaka University,大阪大学,
,Sami Bhiri,,SAMI BHIRI,,,
,Samir Tata,,SAMIR TATA,,,
?,Sanjay K. Madria,,SANJAY K. MADRIA,,,
,Sanjay Kumar Madria,,SANJAY KUMAR MADRIA,,,
?,Sanjay Madria,,SANJAY MADRIA,,,
1,"Sano, Shoji ",佐野 渉二,SHOJI SANO,,,
1,"Santo, Hiroaki",山藤 浩明,HIROAKI SANTO,,,
,"Sasaki, Yu",佐崎 悠,佐崎 悠,,,
,"Sasaki, Yuwa",佐々木 勇和,佐々木 勇和,Osaka University,大阪大学,
1,"Sasaki, Yuya ",,YUYA SASAKI,,,
,"Sato, Koji",佐藤 浩史,佐藤 浩史,,,
,"Sato, Tetsushi",佐藤 哲司,佐藤 哲司,,,
1,"Sawai, Rie",澤井 里枝,RIE SAWAI,,,
,"Sawai, Rie",澤井里枝,澤井里枝,,,
1,"Sawai, Yohei",澤井 陽平,YOHEI SAWAI,,,
,"Sawai, Yohei",澤井陽平,澤井陽平,,,
,"Sawamura, Takuya",澤村 卓哉,澤村 卓哉,,,
1,"Sawamura, Yusuke ",澤村 雄介,YUSUKE SAWAMURA,,,
1,"Sazaki, Haruka",,HARUKA SAZAKI,,,
,"Seijyo, Shigehiro",正城 敏博,正城 敏博,,,
1,"Seino, Wataru ",清野 航,WATARU SEINO,,,
1,"Shibata, Hajime",柴田 一,HAJIME SHIBATA,,,
,"Shimada, Keiichi",嶋田 惠一,嶋田 惠一,,,
1,"Shimatani, Kentaro",嶋谷 健太郎,KENTARO SHIMATANI,,,
1,"Shimojo, Shinji",下條 真司,SHIMOJO SHINJI,,,
1,"Shimosuka, Asao",下須賀 滋穂,ASAO SHIMOSUKA,,,
,"Shimura, Masamichi",志村 正道,志村 正道,,,
1,"Shinichi, Yataka",,SHINICHI YATAKA,,,
1,"Shinjo, Tatsuya",新城 達也,TATSUYA SHINJO,,,
1,"Shinoda, Hiroyuki",,SHINODA HIROYUKI,,,
1,"Shinohara, Masako",篠原 昌子,MASAKO SHINOHARA,,,
1,"Shinomiya, Jun",四之宮 潤,JUN SHINOMIYA,,,
1,"Shintani, Goh",新谷 剛,GOH SHINTANI,,,
,"Shirai, Hiroaki",白井 博章,白井 博章,,,
,"Shirai, Tsuyoshi",白井 剛,白井 剛,,,
1,"Shirai, Yoshinari ",白井 良成,YOSHINARI SHIRAI,,,
1,"Shirakawa, Masumi",白川 真澄,MASUMI SHIRAKAWA,,,
1,"Shiraki, Toru ",白木 徹,TORU SHIRAKI,,,
1,"Shoji, Naoki",小路 直紀,NAOKI SHOJI,,,
,Shoubin Dong,,SHOUBIN DONG,,,
,Shu Lei,,SHU LEI,,,
,"Simizu, Iku",清水 育,清水 育,,,
?,Sommuk Sanguantrakul,,SOMMUK SANGUANTRAKUL,,,
?,Somnuk Sanguantrakul,,SOMNUK SANGUANTRAKUL,,,
,"Sonoe, Kenichi",園生 賢一,園生 賢一,,,
,Sonuq Saguanto,ソムヌック サグアントラクーン,ソムヌック サグアントラクーン,,,
,Stephan Sigg,,STEPHAN SIGG,,,
,Su Norman Makoto,,SU NORMAN MAKOTO,,,
1,"Sugano, Akihiro",菅野 昭博,SUGANO AKIHIRO,,,
,"Sugawara, Takanori",菅原 貴徳,菅原 貴徳,,,
,"Sugaya, Humiaki",菅谷 史昭,菅谷 史昭,,,
,"Sugimoto, Kodai",杉本 広大,杉本広大,,,
1,"Sugitani, Takuya ",杉谷 卓哉,TAKUYA SUGITANI,,,
,"Sugiyuama, Maroto",杉山 麿人,杉山 麿人,,,
,"Sukenari, Mitsuki",祐成 光樹,祐成光樹,,,
1,"Sumita, Eiichiro",,EIICHIRO SUMITA,,,
,"Sunahara, Hideki",砂原 秀樹,砂原 秀樹,,,
,Sungyoung Lee,,SUNGYOUNG LEE,,,
,Suran Li,,SURAN LI,,,
,"Suyama, Katayuki",須山 敬之,須山 敬之,,,
,"Suyama, Takayuki ",,TAKAYUKI SUYAMA,,,
1,"Suzuki, Akiyoshi",鈴木 晃祥,AKIYOSHI SUZUKI,,,
,"Suzuki, Hirokazu",鈴木 宏和,鈴木 宏和,,,
1,"Suzuki, Kentaro",鈴木 健太郎,SUZUKI KENTARO,,,
,"Syoji, Kanako",庄司 加奈子,庄司 加奈子,,,
,"Syoji, Takeshi",庄司 武,庄司 武,,,
1,"Tachikawa, Masaya ",立川 雅也,MASAYA TACHIKAWA,,,
,Taekyoung Kwon,,TAEKYOUNG KWON,,,
1,"Taguchi, Daigo",田口 大悟,DAIGO TAGUCHI,,,
1,"Taguchi, Naoya",田口 直弥,NAOYA TAGUCHI,,,
,"Tajima, Keshi",田島 敬史,田島 敬史,,,
,"Takada, Yuichi",高田 一雄,高田 一雄,,,
1,"Takahashi, Kentaro",高橋 健太郎,KENTARO TAKAHASHI,,,
1,"Takahashi, Makito",高橋 真喜人,MAKITO TAKAHASHI,,,
,"Takahashi, Satoshi",高橋 悟史,高橋 悟史,,,
,"Takahashi, Satosi",高橋 悟史,高橋悟史,,,
,"Takahashi, XXX",高橋 範亘,高橋 範亘,,,
1,"Takahashi, Yutaka",,TAKAHASHI YUTAKA,,,
,"Takeda, Mutsuharu",武本 充治,武本 充治,,,
,"Takeda, Syunsuke",武田 淳佑,武田 淳佑,,,
1,"Takegawa, Yoshinari",竹川 佳成,TAKEGAWA YOSHINARI,,,
?,"Takegawa, Yoshinori ",,YOSHINORI TAKEGAWA,,,
1,"Takemura, Haruo",竹村 治雄,HARUO TAKEMURA,,,
1,"Takeuchi, Susumu",,TAKEUCHI SUSUMU,,,
,"Takeuchi, Toru",竹内 亨,竹内 亨,,,
1,"Takine, Tetsuya",滝根 哲哉,TAKINE TETSUYA,,,
,"Takishima, Yasuhiro",滝嶋 康弘,滝嶋 康弘,,,
1,"Tamagawa, Hiroo",,HIROO TAMAGAWA,,,
,"Tamaki, Toru",玉木 徹,玉木 徹,,,
1,"Tanaka, Hirokazu",田中 博和,TANAKA HIROKAZU,,,
1,"Tanaka, Katsumi",田中 克己,KATSUMI TANAKA,,,
1,"Tanaka, Kohei",田中 宏平,KOHEI TANAKA,,,
,"Tanaka, Koji",田中 孝浩,田中 孝浩,,,
1,"Tanaka, Rieko",田中 理恵子,RIEKO TANAKA,,,
1,"Tanaka, Satoshi",田中 聡,SATOSHI TANAKA,,,
1,"Tanaka, Toshiyuki ",田中 敏之,TOSHIYUKI TANAKA,,,
,Tang Shiwei,,TANG SHIWEI,,,
1,"Taniguchi, Hideo",谷口 秀夫,HIDEO TANIGUCHI,,,
1,"Taniguchi, Shinichi",谷口 伸一,SHINICHI TANIGUCHI,,,
1,"Taniguchi, Tetsuya",谷口 哲也,TANIGUCHI TETSUYA,,,
1,"Taniguchi, Yoshiaki ",谷口 義明,YOSHIAKI TANIGUCHI,,,
1,"Tanimoto, Yuki ",,YUKI TANIMOTO,,,
1,"Taniuchi, Daisuke",谷内 大祐,DAISUKE TANIUCHI,,,
1,"Taniyama, Yuki ",谷山 雄基,YUKI TANIYAMA,,,
,Taye Mulugeta,,TAYE MULUGETA,,,
1,"Terada, Tsutomu",寺田 努,TERADA TSUTOMU,Osaka University,大阪大学,
,"Terada, Yasue ",,YASUE TERADA,,,
,"Teranaka, Katsumi",寺中 勝美,寺中 勝美,,,
?,"Teranishi, Yuuichi",,TERANISHI YUUICHI,,,
1,"Teranisi, Yuichi",寺西 裕一,TERANISI YUICHI,,,
,Thammasan Nattapong,,THAMMASAN NATTAPONG,,,
,Thilina Dissanayake,,THILINA DISSANAYAKE,,,
,"Tin, XXX",田 一鳴,田 一鳴,Osaka University,大阪大学,
,"Tkagi, Etsuko",高木 越子,高木 越子,,,
,"Tokoro, Yohei",所 洋平,所 洋平,,,
,"Tokuda, Hideyuki",徳田 英幸,徳田 英幸,,,
,"Tominaga, Tomu",冨永 登夢,冨永 登夢,Osaka University,大阪大学,
1,"Tominaga, Tomu ",,TOMU TOMINAGA,,,
1,"Tomiyasu, Hirokazu",富安 宏和,HIROKAZU TOMIYASU,,,
,"Toriyama, Tomoji",鳥山 朋二,鳥山 朋二,,,
,Treeprapin K.,,TREEPRAPIN K.,,,
,Trung Q. Duong,,TRUNG Q. DUONG,,,
,"Tsuda,  Hiroharu",津田 宏治,津田 宏治,,,
1,"Tsuda, Takuji",津田 琢士,TAKUJI TSUDA,,,
,"Tsuda, Yuki",津田 祐輝,津田 祐輝,,,
1,"Tsukamoto, Masahiko",塚本 昌彦,MASAHIKO TSUKAMOTO,Osaka University,大阪大学,
?,"Tsukamotom, Masahuko",,MASAHUKO TSUKAMOTOM,Osaka University,大阪大学,
,Tsuneo Jozen,,TSUNEO JOZEN,,,
,"Tsuri, Hiromi",釣 博美,釣 博美,,,
,"Uchida, Naoko",内田 直子,内田 直子,,,
1,"Uchida, Wataru",内田 渉,UCHIDA WATARU,,,
1,"Uchiyama, Akira ",,AKIRA UCHIYAMA,,,
1,"Ueda, Hirotaka",上田 宏高,HIROTAKA UEDA,,,
,"Uehara, Kazuyoshi",三井 一能,三井 一能,,,
,"Uehara, Kuniaki",上原 邦昭,上原 邦昭,,,
1,"Uemukai, Toshiaki",上向 俊明,UEMUKAI TOSHIAKI,,,
,"Ueyoshi, Tsuneo",上善 恒雄,上善 恒雄,,,
,Umeshwar Dayal,,UMESHWAR DAYAL,,,
1,"Umezawa, Masahiro",梅澤 真弘,MASAHIRO UMEZAWA,,,
,"Umezu, Yuta",梅津 佑太,梅津 佑太,,,
,"Umikai, Akimichi",海貝 明道,海貝 明道,,,
,"Uno, Hiroshi",宇野 裕史,宇野 裕史,,,
1,"Urai, Kenji",浦井 健次,KENJI URAI,,,
,Villar Nicolas,,VILLAR NICOLAS,,,
,Vladimir I. Zadorozhny,,VLADIMIR I. ZADOROZHNY,,,
,W. Rahayu,,W. RAHAYU,,,
,"Wakabayashi, Susumu",若林 進,若林 進,,,
1,"Wakamiya, Naoki",若宮 直紀,NAOKI WAKAMIYA,,,
,"Waki, Hideyo",脇 英世,脇 英世,,,
,Walid Gaaloul,,WALID GAALOUL,,,
,Wan Tang,,WAN TANG,,,
,Wang Lei,,WANG LEI,,,
,WANG Wooi Ghee,,WANG WOOI GHEE,,,
,Wang-Chien Lee,,WANG-CHIEN LEE,,,
1,"Watanabe, Miki",渡辺 美紀,MIKI WATANABE,Osaka University,大阪大学,
1,"Watanabe, Shinji ",渡部 晋治,SHINJI WATANABE,,,
1,"Watanabe, Toshiki",渡辺 俊貴,WATANABE TOSHIKI,,,
1,"Watanabe, Toshiki ",,TOSHIKI WATANABE,,,
,"Watanuki, Yutaka",綿貫 豊,綿貫 豊,,,
,Wei Cai,,WEI CAI,,,
,Wei Wang,,WEI WANG,,,
,Wei Yu,,WEI YU,,,
,Weifeng Sun,,WEIFENG SUN,,,
,Weipeng Jing,,WEIPENG JING,,,
,Weiwei Fang,,WEIWEI FANG,,,
,Wen Shen,,WEN SHEN,,,
,Wendong Wang,,WENDONG WANG,,,
,Wenlong Yue,,WENLONG YUE,,,
,Wenqing Cheng,,WENQING CHENG,,,
,Wooi-Ghee Wang,,WOOI-GHEE WANG,,,
,Xiao-Hu Ge,,XIAO-HU GE,,,
,Xiaofei Cao,,XIAOFEI CAO,,,
,Xiaohu Ge,,XIAOHU GE,,,
,Xiaokang Liu,,XIAOKANG LIU,,,
,Xiaopeng Liu,,XIAOPENG LIU,,,
,Xie X.,,XIE X.,,,
,Xie Xing,,XIE XING,,,
,Xing Xie,,XING XIE,,,
,Xu Du,,XU DU,,,
,Y.H.,,Y.H.,,,
,Y.P.P. Chen,,Y.P.P. CHEN,,,
,"Yadaka, Kazuma",矢高 真一,矢高 真一,,,
1,Yahata Takashi,八幡 孝,YAHATA TAKASHI,,,
1,"Yajima, Etsuko",矢島 悦子,ETSUKO YAJIMA,,,
,Yali Wang,,YALI WANG,,,
1,"Yamaguchi, Hirozumi",,HIROZUMI YAMAGUCHI,,,
1,"Yamaguchi, Yoshihisa ",山口 喜久,YOSHIHISA YAMAGUCHI,,,
,"Yamamoto, Atsushi",山本 淳,山本 淳,,,
1,"Yamamoto, Ayana",山本 彩奈,AYANA YAMAMOTO,,,
,"Yamamoto, Kiishiro",山本 嘉一郎,山本 嘉一郎,,,
,"Yamamoto, Mitsuhi",山本 光穂,山本 光穂,,,
1,"Yamamoto, Takehiro ",,TAKEHIRO YAMAMOTO,,,
,"Yamamoto, Tetsuya",山本 哲也,山本 哲也,,,
,"Yamamoto, Tetsuya",山本 哲也,山本哲也,,,
,"Yamanishi, Jyunichi",山西 潤一,山西 潤一,,,
1,"Yamashita, Hiroshi",山下 浩嗣,HIROSHI YAMASHITA,,,
1,"Yamashita, Naomi",,NAOMI YAMASHITA,,,
1,"Yamazaki, Shuhei ",,SHUHEI YAMAZAKI,,,
1,"Yamishita, Masashi",山下 雅史,MASASHI YAMISHITA,,,
,"Yamoto, Kazuma",山本 真史,山本 真史,,,
,Yan Zhang,,YAN ZHANG,,,
,"Yanagida, Shigeo",柳田 敏雄,柳田 敏雄,,,
,"Yanase, Yasuhiro",柳瀬 康宏,柳瀬 康宏,,,
,Yang Dongqing,,YANG DONGQING,,,
,Yang Yang,,YANG YANG,,,
,Yangqiu Song,,YANGQIU SONG,,,
1,"Yasuda, Yousuke ",,YOUSUKE YASUDA,,,
,"Yasuga, Hiroyuki",安賀 広幸,安賀 広幸,,,
1,"Yatsushima, Yuki ",,YUKI YATSUSHIMA,,,
,Yazhi Liu,,YAZHI LIU,,,
,Yi Liu,,YI LIU,,,
,Yi-Ying Zhang,,YI-YING ZHANG,,,
,Yin Huei Loh,,YIN HUEI LOH,,,
,Yiying Zhang,,YIYING ZHANG,,,
?,"Yoda, Ken",依田 憲,KEN YODA,Nagoya Univeristy,名古屋大学,
,"Yokobori, Mitsuru",横堀 充,横堀 充,,,
,"Yokohata, Yuki",横畑 夕貴,横畑 夕貴,,,
1,"Yokoyama, Masahiro",横山 正浩,MASAHIRO YOKOYAMA,Osaka University,大阪大学,
,Yong Lindsay,,YONG LINDSAY,,,
,Yong Zhao,,YONG ZHAO,,,
1,"Yoshida, Mikio",吉田 幹,MIKIO YOSHIDA,,,
1,"Yoshihisa, Tohru ",,TOHRU YOSHIHISA,,,
1,"Yoshihisa, Tomoki ",,TOMOKI YOSHIHISA,,,
1,"Yoshikawa, Masatoshi",義久 智樹,MASATOSHI YOSHIKAWA,,,
,"Yoshikawa, Masatoshi",吉川 正俊,吉川 正俊,,,
1,"Yoshimura, Naoya",吉村 直也,NAOYA YOSHIMURA,Osaka University,大阪大学,
1,"Yoshimura, Takeshi ",吉村 武,TAKESHI YOSHIMURA,,,
,"Yoskota, Kazumasa",横田 一正,横田 一正,,,
,Young-Chon Kim,,YOUNG-CHON KIM,,,
,Yu Chen,,YU CHEN,,,
,Yu Niu,,YU NIU,,,
,Yu-Hsiang Hsu,,YU-HSIANG HSU,,,
,Yuanfang Chen,,YUANFANG CHEN,,,
,Yuhui Dong,,YUHUI DONG,,,
,Zhang Yizhe,,ZHANG YIZHE,,,
,Zhang-Bing Zhou,,ZHANG-BING ZHOU,,,
,Zhangbing Zhou,,ZHANGBING ZHOU,,,
,Zhao Yong,,ZHAO YONG,,,
,Zhen Liu,,ZHEN LIU,,,
,Zhenquan Qin,,ZHENQUAN QIN,,,
,Zhongyuan Wang,,ZHONGYUAN WANG,,,
,Zhu Ming,,ZHU MING,,,
,Zhuxiu Yuan,,ZHUXIU YUAN,,,
,Ziqi Fan,,ZIQI FAN,,,
